town,count_7eleven_s,count_7eleven_c,total_count_og,total_count_st
ANG MO KIO,5,4,9,8
BEDOK,9,6,15,9
BISHAN,4,2,6,6
BUKIT BATOK,9,2,11,12
BUKIT MERAH,11,10,21,12
BUKIT PANJANG,3,4,7,3
CENTRAL,,,,
CHOA CHU KANG,1,5,6,5
CLEMENTI,5,0,5,2
GEYLANG,10,6,16,9
HOUGANG,5,5,10,10
JURONG EAST,1,5,6,5
JURONG WEST,7,9,16,16
MARINE PARADE,,,,
KALLANG/WHAMPOA,7,4,11,8
PASIR RIS,3,6,9,4
PUNGGOL,2,2,4,3
QUEENSTOWN,4,1,5,3
SEMBAWANG,1,0,3,6
SENGKANG,1,7,8,5
SERANGOON,3,4,7,4
TAMPINES,10,8,18,17
TOA PAYOH,5,2,7,6
WOODLANDS,4,6,10,10
YISHUN,8,8,16,11
CENTRAL AREA,,,,
