town,region
ANG MO KIO,NORTH EAST
BEDOK ,EAST
BISHAN,CENTRAL
BUKIT BATOK,WEST
BUKIT MERAH,CENTRAL
BUKIT PANJANG,WEST
CENTRAL,CENTRAL
CHOA CHU KANG,WEST
CLEMENTI,WEST
GEYLANG,CENTRAL
HOUGANG,NORTH EAST
JURONG EAST,WEST
JURONG WEST,WEST
KALLANG/WHAMPOA,CENTRAL
MAIRNE PARADE,CENTRAL
PASIR RIS,EAST
PUNGGOL ,NORTH EAST
QUEENSTOWN,CENTRAL
SEMBAWANG,NORTH
SENGKANG,NORTH EAST
SERANGOON,NORTH EAST
TAMPINES,EAST 
TOA PAYOH,CENTRAL
WOODLANDS ,NORTH
YISHUN,NORTH 
CENTRAL AREA,CENTRAL
